8 10 !    total energy              =      -0.69423471 Ry
8 12 !    total energy              =      -0.69474840 Ry
8 14 !    total energy              =      -0.69504691 Ry
8 16 !    total energy              =      -0.69530407 Ry
8 18 !    total energy              =      -0.69540694 Ry
8 20 !    total energy              =      -0.69546776 Ry
8 22 !    total energy              =      -0.69548542 Ry
8 24 !    total energy              =      -0.69548547 Ry
8 26 !    total energy              =      -0.69548454 Ry
8 28 !    total energy              =      -0.69548788 Ry
8 30 !    total energy              =      -0.69549279 Ry
8 32 !    total energy              =      -0.69549976 Ry
8 34 !    total energy              =      -0.69550484 Ry
8 36 !    total energy              =      -0.69551003 Ry
8 38 !    total energy              =      -0.69551509 Ry
8 40 !    total energy              =      -0.69551906 Ry
8 42 !    total energy              =      -0.69552128 Ry
8 44 !    total energy              =      -0.69552236 Ry
8 46 !    total energy              =      -0.69552302 Ry
8 48 !    total energy              =      -0.69552355 Ry
8 10 !    total energy              =      -0.69423471 Ry
8 12 !    total energy              =      -0.69474840 Ry
8 14 !    total energy              =      -0.69504691 Ry
8 16 !    total energy              =      -0.69530407 Ry
8 18 !    total energy              =      -0.69540694 Ry
8 20 !    total energy              =      -0.69546776 Ry
8 22 !    total energy              =      -0.69548542 Ry
8 24 !    total energy              =      -0.69548547 Ry
8 26 !    total energy              =      -0.69548454 Ry
8 28 !    total energy              =      -0.69548788 Ry
8 30 !    total energy              =      -0.69549279 Ry
8 32 !    total energy              =      -0.69549976 Ry
8 34 !    total energy              =      -0.69550484 Ry
8 36 !    total energy              =      -0.69551003 Ry
8 38 !    total energy              =      -0.69551509 Ry
8 40 !    total energy              =      -0.69551906 Ry
8 42 !    total energy              =      -0.69552128 Ry
8 44 !    total energy              =      -0.69552236 Ry
8 46 !    total energy              =      -0.69552302 Ry
8 48 !    total energy              =      -0.69552355 Ry
8 50 !    total energy              =      -0.69552428 Ry
8 52 !    total energy              =      -0.69552515 Ry
8 54 !    total energy              =      -0.69552617 Ry
8 56 !    total energy              =      -0.69552697 Ry
8 58 !    total energy              =      -0.69552752 Ry
8 60 !    total energy              =      -0.69552796 Ry
8 10 !    total energy              =      -0.69423471 Ry
8 12 !    total energy              =      -0.69474840 Ry
8 14 !    total energy              =      -0.69504691 Ry
8 16 !    total energy              =      -0.69530407 Ry
8 18 !    total energy              =      -0.69540694 Ry
8 20 !    total energy              =      -0.69546776 Ry
8 22 !    total energy              =      -0.69548542 Ry
8 24 !    total energy              =      -0.69548547 Ry
8 26 !    total energy              =      -0.69548454 Ry
8 28 !    total energy              =      -0.69548788 Ry
8 30 !    total energy              =      -0.69549279 Ry
8 32 !    total energy              =      -0.69549976 Ry
8 34 !    total energy              =      -0.69550484 Ry
8 36 !    total energy              =      -0.69551003 Ry
8 38 !    total energy              =      -0.69551509 Ry
8 40 !    total energy              =      -0.69551906 Ry
8 42 !    total energy              =      -0.69552128 Ry
8 44 !    total energy              =      -0.69552236 Ry
8 46 !    total energy              =      -0.69552302 Ry
8 48 !    total energy              =      -0.69552355 Ry
8 50 !    total energy              =      -0.69552428 Ry
8 52 !    total energy              =      -0.69552515 Ry
8 54 !    total energy              =      -0.69552617 Ry
8 56 !    total energy              =      -0.69552697 Ry
8 58 !    total energy              =      -0.69552752 Ry
8 60 !    total energy              =      -0.69552796 Ry
8 10 !    total energy              =      -0.69423471 Ry
8 12 !    total energy              =      -0.69474840 Ry
8 14 !    total energy              =      -0.69504691 Ry
8 16 !    total energy              =      -0.69530407 Ry
8 18 !    total energy              =      -0.69540694 Ry
8 20 !    total energy              =      -0.69546776 Ry
8 22 !    total energy              =      -0.69548542 Ry
8 24 !    total energy              =      -0.69548547 Ry
8 26 !    total energy              =      -0.69548454 Ry
8 28 !    total energy              =      -0.69548788 Ry
8 30 !    total energy              =      -0.69549279 Ry
8 32 !    total energy              =      -0.69549976 Ry
8 34 !    total energy              =      -0.69550484 Ry
8 36 !    total energy              =      -0.69551003 Ry
8 38 !    total energy              =      -0.69551509 Ry
8 40 !    total energy              =      -0.69551906 Ry
8 42 !    total energy              =      -0.69552128 Ry
8 44 !    total energy              =      -0.69552236 Ry
8 46 !    total energy              =      -0.69552302 Ry
8 48 !    total energy              =      -0.69552355 Ry
8 50 !    total energy              =      -0.69552428 Ry
8 52 !    total energy              =      -0.69552515 Ry
8 54 !    total energy              =      -0.69552617 Ry
8 56 !    total energy              =      -0.69552697 Ry
8 58 !    total energy              =      -0.69552752 Ry
8 60 !    total energy              =      -0.69552796 Ry
