4 10 !    total energy              =      -0.69157706 Ry
4 12 !    total energy              =      -0.69207693 Ry
4 14 !    total energy              =      -0.69243220 Ry
4 16 !    total energy              =      -0.69263804 Ry
4 18 !    total energy              =      -0.69276801 Ry
4 20 !    total energy              =      -0.69282989 Ry
4 22 !    total energy              =      -0.69284541 Ry
4 24 !    total energy              =      -0.69284624 Ry
4 26 !    total energy              =      -0.69284513 Ry
4 28 !    total energy              =      -0.69284852 Ry
4 30 !    total energy              =      -0.69285357 Ry
4 32 !    total energy              =      -0.69286008 Ry
4 34 !    total energy              =      -0.69286578 Ry
4 36 !    total energy              =      -0.69287095 Ry
4 38 !    total energy              =      -0.69287560 Ry
4 40 !    total energy              =      -0.69287981 Ry
4 42 !    total energy              =      -0.69288212 Ry
4 44 !    total energy              =      -0.69288326 Ry
4 46 !    total energy              =      -0.69288386 Ry
4 48 !    total energy              =      -0.69288435 Ry
4 50 !    total energy              =      -0.69288508 Ry
4 52 !    total energy              =      -0.69288609 Ry
4 54 !    total energy              =      -0.69288696 Ry
4 56 !    total energy              =      -0.69288768 Ry
4 58 !    total energy              =      -0.69288836 Ry
4 60 !    total energy              =      -0.69288878 Ry
4 10 !    total energy              =      -0.69157706 Ry
4 12 !    total energy              =      -0.69207693 Ry
4 14 !    total energy              =      -0.69243220 Ry
4 16 !    total energy              =      -0.69263804 Ry
4 18 !    total energy              =      -0.69276801 Ry
4 20 !    total energy              =      -0.69282989 Ry
4 22 !    total energy              =      -0.69284541 Ry
4 24 !    total energy              =      -0.69284624 Ry
4 26 !    total energy              =      -0.69284513 Ry
4 28 !    total energy              =      -0.69284852 Ry
4 30 !    total energy              =      -0.69285357 Ry
4 32 !    total energy              =      -0.69286008 Ry
4 34 !    total energy              =      -0.69286578 Ry
4 36 !    total energy              =      -0.69287095 Ry
4 38 !    total energy              =      -0.69287560 Ry
4 40 !    total energy              =      -0.69287981 Ry
4 42 !    total energy              =      -0.69288212 Ry
4 44 !    total energy              =      -0.69288326 Ry
4 46 !    total energy              =      -0.69288386 Ry
4 48 !    total energy              =      -0.69288435 Ry
4 50 !    total energy              =      -0.69288508 Ry
4 52 !    total energy              =      -0.69288609 Ry
4 54 !    total energy              =      -0.69288696 Ry
4 56 !    total energy              =      -0.69288768 Ry
4 58 !    total energy              =      -0.69288836 Ry
4 60 !    total energy              =      -0.69288878 Ry
4 10 !    total energy              =      -0.69157706 Ry
4 12 !    total energy              =      -0.69207693 Ry
4 14 !    total energy              =      -0.69243220 Ry
4 16 !    total energy              =      -0.69263804 Ry
4 18 !    total energy              =      -0.69276801 Ry
4 20 !    total energy              =      -0.69282989 Ry
4 22 !    total energy              =      -0.69284541 Ry
4 24 !    total energy              =      -0.69284624 Ry
4 26 !    total energy              =      -0.69284513 Ry
4 28 !    total energy              =      -0.69284852 Ry
4 30 !    total energy              =      -0.69285357 Ry
4 32 !    total energy              =      -0.69286008 Ry
4 34 !    total energy              =      -0.69286578 Ry
4 36 !    total energy              =      -0.69287095 Ry
4 38 !    total energy              =      -0.69287560 Ry
4 40 !    total energy              =      -0.69287981 Ry
4 42 !    total energy              =      -0.69288212 Ry
4 44 !    total energy              =      -0.69288326 Ry
4 46 !    total energy              =      -0.69288386 Ry
4 48 !    total energy              =      -0.69288435 Ry
4 50 !    total energy              =      -0.69288508 Ry
4 52 !    total energy              =      -0.69288609 Ry
4 54 !    total energy              =      -0.69288696 Ry
4 56 !    total energy              =      -0.69288768 Ry
4 58 !    total energy              =      -0.69288836 Ry
4 60 !    total energy              =      -0.69288878 Ry
4 10 !    total energy              =      -0.69157706 Ry
4 12 !    total energy              =      -0.69207693 Ry
4 14 !    total energy              =      -0.69243220 Ry
4 16 !    total energy              =      -0.69263804 Ry
4 18 !    total energy              =      -0.69276801 Ry
4 20 !    total energy              =      -0.69282989 Ry
4 22 !    total energy              =      -0.69284541 Ry
4 24 !    total energy              =      -0.69284624 Ry
4 26 !    total energy              =      -0.69284513 Ry
4 28 !    total energy              =      -0.69284852 Ry
4 30 !    total energy              =      -0.69285357 Ry
4 32 !    total energy              =      -0.69286008 Ry
4 34 !    total energy              =      -0.69286578 Ry
4 36 !    total energy              =      -0.69287095 Ry
4 38 !    total energy              =      -0.69287560 Ry
4 40 !    total energy              =      -0.69287981 Ry
4 42 !    total energy              =      -0.69288212 Ry
4 44 !    total energy              =      -0.69288326 Ry
4 46 !    total energy              =      -0.69288386 Ry
4 48 !    total energy              =      -0.69288435 Ry
4 50 !    total energy              =      -0.69288508 Ry
4 52 !    total energy              =      -0.69288609 Ry
4 54 !    total energy              =      -0.69288696 Ry
4 56 !    total energy              =      -0.69288768 Ry
4 58 !    total energy              =      -0.69288836 Ry
4 60 !    total energy              =      -0.69288878 Ry
