16 10 !    total energy              =      -0.69314089 Ry
16 12 !    total energy              =      -0.69366524 Ry
16 14 !    total energy              =      -0.69395786 Ry
16 16 !    total energy              =      -0.69421230 Ry
16 18 !    total energy              =      -0.69431644 Ry
16 20 !    total energy              =      -0.69437795 Ry
16 22 !    total energy              =      -0.69439513 Ry
16 24 !    total energy              =      -0.69439525 Ry
16 26 !    total energy              =      -0.69439434 Ry
16 28 !    total energy              =      -0.69439773 Ry
16 30 !    total energy              =      -0.69440260 Ry
16 32 !    total energy              =      -0.69440947 Ry
16 34 !    total energy              =      -0.69441468 Ry
16 36 !    total energy              =      -0.69441990 Ry
16 38 !    total energy              =      -0.69442482 Ry
16 40 !    total energy              =      -0.69442884 Ry
16 42 !    total energy              =      -0.69443103 Ry
16 44 !    total energy              =      -0.69443214 Ry
16 46 !    total energy              =      -0.69443281 Ry
16 48 !    total energy              =      -0.69443333 Ry
16 50 !    total energy              =      -0.69443409 Ry
16 52 !    total energy              =      -0.69443493 Ry
16 54 !    total energy              =      -0.69443597 Ry
16 56 !    total energy              =      -0.69443675 Ry
16 58 !    total energy              =      -0.69443732 Ry
16 60 !    total energy              =      -0.69443775 Ry
