10 10 !    total energy              =      -0.69337898 Ry
10 12 !    total energy              =      -0.69390846 Ry
10 14 !    total energy              =      -0.69420735 Ry
10 16 !    total energy              =      -0.69445875 Ry
10 18 !    total energy              =      -0.69456397 Ry
10 20 !    total energy              =      -0.69462699 Ry
10 22 !    total energy              =      -0.69464355 Ry
10 24 !    total energy              =      -0.69464372 Ry
10 26 !    total energy              =      -0.69464279 Ry
10 28 !    total energy              =      -0.69464624 Ry
10 30 !    total energy              =      -0.69465121 Ry
10 32 !    total energy              =      -0.69465784 Ry
10 34 !    total energy              =      -0.69466319 Ry
10 36 !    total energy              =      -0.69466836 Ry
10 38 !    total energy              =      -0.69467326 Ry
10 40 !    total energy              =      -0.69467733 Ry
10 42 !    total energy              =      -0.69467952 Ry
10 44 !    total energy              =      -0.69468066 Ry
10 46 !    total energy              =      -0.69468132 Ry
10 48 !    total energy              =      -0.69468181 Ry
10 50 !    total energy              =      -0.69468256 Ry
10 52 !    total energy              =      -0.69468343 Ry
10 54 !    total energy              =      -0.69468446 Ry
10 56 !    total energy              =      -0.69468523 Ry
10 58 !    total energy              =      -0.69468581 Ry
10 60 !    total energy              =      -0.69468624 Ry
