4 !    total energy              =      -0.69282989 Ry
6 !    total energy              =      -0.69596552 Ry
8 !    total energy              =      -0.69546776 Ry
10 !    total energy              =      -0.69462699 Ry
12 !    total energy              =      -0.69448565 Ry
14 !    total energy              =      -0.69443211 Ry
16 !    total energy              =      -0.69437795 Ry
18 !    total energy              =      -0.69458920 Ry
20 !    total energy              =      -0.69456254 Ry
