#klen kx ky kz bands(eV)
2.93383 0.3000 0.3000 0.3000      -0.4530   8.0315   8.0315  10.3228  20.2937  20.2937  24.2842  24.2842
3.02043 0.3500 0.3500 0.3500       0.4835   6.7525   6.7525   9.8099  21.3678  21.3678  25.5337  25.5337
3.10703 0.4000 0.4000 0.4000       1.5533   5.6508   5.6508   9.4377  22.5412  22.5412  26.0245  26.9622
3.19364 0.4500 0.4500 0.4500       2.7399   4.7331   4.7331   9.1994  23.7020  23.7020  25.5100  28.5217
3.28024 0.5000 0.5000 0.5000       4.0017   4.0017   4.0017   9.1085  24.5755  24.5755  24.5755  29.5882
3.36684 0.5500 0.4500 0.4500       3.4597   3.4597   5.2346   9.2399  23.2522  24.6229  24.6229  28.1177
3.45344 0.6000 0.4000 0.4000       3.1069   3.1069   6.2092   9.7776  21.8254  23.1709  23.1709  27.0255
3.54005 0.6500 0.3500 0.3500       2.9437   2.9437   6.7149  10.8649  20.5812  20.8695  20.8695  26.7860
3.62665 0.7000 0.3000 0.3000       2.9698   2.9698   6.8475  12.2678  18.4895  18.4895  19.7689  26.8423
3.71325 0.7500 0.2500 0.2500       3.1835   3.1835   6.7904  13.5034  16.2238  16.2238  19.7256  27.0827
3.79985 0.8000 0.2000 0.2000       3.5815   3.5815   6.6462  14.1260  14.1260  14.1428  20.7958  27.4900
3.88646 0.8500 0.1500 0.1500       4.1560   4.1560   6.4735  12.2209  12.2209  14.2659  22.8303  28.0511
3.97306 0.9000 0.1000 0.1000       4.8858   4.8858   6.3157  10.5375  10.5375  14.2053  25.4110  28.7348
4.05966 0.9500 0.0500 0.0500       5.6904   5.6904   6.2068   9.1599   9.1599  14.1342  28.1568  29.4360
4.14626 1.0000 0.0000 0.0000       6.1696   6.1696   6.1696   8.4909   8.4909  14.1071  29.8082  29.8082
